model,dataset,k6_flip_rate,n_screened,n_raw_in_file,source
internvl3-5-14b,medframeqa,0.12307692307692308,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-14b_n200_2026-05-17_09-23-06/inference/image_set_order__medframeqa__internvl3-5-14b.jsonl
internvl3-5-38b,mantis_eval,0.3333333333333333,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-38b_n200_2026-05-18_12-39-55/inference/image_set_order__mantis_eval__internvl3-5-38b.jsonl
internvl3-5-38b,medframeqa,0.17435897435897435,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-38b_n200_2026-05-18_12-39-55/inference/image_set_order__medframeqa__internvl3-5-38b.jsonl
internvl3-5-4b,mantis_eval,0.2777777777777778,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-4b_n200_2026-05-16_23-22-44/inference/image_set_order__mantis_eval__internvl3-5-4b.jsonl
internvl3-5-4b,medframeqa,0.18461538461538463,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-4b_n200_2026-05-16_23-22-44/inference/image_set_order__medframeqa__internvl3-5-4b.jsonl
internvl3-5-8b,mantis_eval,0.3888888888888889,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-8b_n200_2026-05-17_04-17-13/inference/image_set_order__mantis_eval__internvl3-5-8b.jsonl
internvl3-5-8b,medframeqa,0.26153846153846155,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_internvl3-5-8b_n200_2026-05-17_04-17-13/inference/image_set_order__medframeqa__internvl3-5-8b.jsonl
kimi-vl-a3b-instruct,mantis_eval,0.2222222222222222,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_kimi-vl-a3b-instruct_n200_2026-05-16_03-35-39/inference/image_set_order__mantis_eval__kimi-vl-a3b-instruct.jsonl
kimi-vl-a3b-instruct,medframeqa,0.14358974358974358,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_kimi-vl-a3b-instruct_n200_2026-05-16_03-35-39/inference/image_set_order__medframeqa__kimi-vl-a3b-instruct.jsonl
medgemma-27b-it,mantis_eval,0.2777777777777778,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_medgemma-27b-it_n200_2026-05-18_00-51-53/inference/image_set_order__mantis_eval__medgemma-27b-it.jsonl
medgemma-27b-it,medframeqa,0.1076923076923077,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_medgemma-27b-it_n200_2026-05-18_00-51-53/inference/image_set_order__medframeqa__medgemma-27b-it.jsonl
medgemma-4b-it,mantis_eval,0.2222222222222222,18,70,EMNLP_2026/MMIOS/results/experiments/local_full_medgemma-4b-it_2026-05-13_00-03-13_2026-05-13_00-03-14/inference/image_set_order__mantis_eval__medgemma-4b-it.jsonl
medgemma-4b-it,medframeqa,0.15897435897435896,195,200,EMNLP_2026/MMIOS/results/experiments/local_full_medgemma-4b-it_2026-05-13_00-03-13_2026-05-13_00-03-14/inference/image_set_order__medframeqa__medgemma-4b-it.jsonl
qwen3-5-0-8b,mantis_eval,0.3888888888888889,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-0-8b_n200_2026-05-15_19-32-31/inference/image_set_order__mantis_eval__qwen3-5-0-8b.jsonl
qwen3-5-0-8b,medframeqa,0.3076923076923077,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-0-8b_n200_2026-05-15_19-32-31/inference/image_set_order__medframeqa__qwen3-5-0-8b.jsonl
qwen3-5-27b,mantis_eval,0.2222222222222222,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-27b_n200_2026-05-16_05-34-55/inference/image_set_order__mantis_eval__qwen3-5-27b.jsonl
qwen3-5-27b,medframeqa,0.3076923076923077,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-27b_n200_2026-05-16_05-34-55/inference/image_set_order__medframeqa__qwen3-5-27b.jsonl
qwen3-5-2b,mantis_eval,0.5,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-2b_n200_2026-05-15_21-02-32/inference/image_set_order__mantis_eval__qwen3-5-2b.jsonl
qwen3-5-2b,medframeqa,0.6512820512820513,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-2b_n200_2026-05-15_21-02-32/inference/image_set_order__medframeqa__qwen3-5-2b.jsonl
qwen3-5-4b,mantis_eval,0.3888888888888889,18,70,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-4b_n200_2026-05-16_00-18-50/inference/image_set_order__mantis_eval__qwen3-5-4b.jsonl
qwen3-5-4b,medframeqa,0.26666666666666666,195,200,EMNLP_2026/MMIOS/results/experiments/local_panel_qwen3-5-4b_n200_2026-05-16_00-18-50/inference/image_set_order__medframeqa__qwen3-5-4b.jsonl
qwen3-5-9b,mantis_eval,0.2777777777777778,18,70,EMNLP_2026/MMIOS/results/experiments/local_full_qwen3-5-9b_2026-05-13_02-00-39_2026-05-13_02-00-39/inference/image_set_order__mantis_eval__qwen3-5-9b.jsonl
qwen3-5-9b,medframeqa,0.1282051282051282,195,200,EMNLP_2026/MMIOS/results/experiments/local_full_qwen3-5-9b_2026-05-13_02-00-39_2026-05-13_02-00-39/inference/image_set_order__medframeqa__qwen3-5-9b.jsonl
